Year,n_H,H.0.2,H.1.1,H.0.3,H.1.2,H.0.4,H.2.1,H.1.3,H.2.2,H.1.4,H.2.3,H.1.5,H.2.4,H.1.6,H.2.5,n_E,E.0.2,E.1.1,E.0.3,E.1.2,E.0.4,E.2.1,E.1.3,E.2.2,E.1.4,E.2.3,E.1.5,E.2.4,E.1.6,E.2.5
1976,30,0,0.109090909,0.009090909,8.354545455,0.009090909,0,41.02727273,0.054545455,46.85454545,0.145454545,3.281818182,0.118181818,0.009090909,0,347,0,0,0,7.6,0,0,40.7,0.4,50.8,0,0.4,0,0,0
1977,264,0,0.066793244,0.005566104,5.386659256,0.005566104,0,37.21695802,0.033396622,54.00637574,0.089057658,3.095003492,0.072359347,0.005566104,0,1,0,0.1,0,12.3,0,0,25.6,0.2,53.35,0.7,1.7,6.05,0,0
1978,319,0,0.0483052,0.004025433,3.810813732,0.004025433,0,25.29897061,0.0241526,66.54911506,0.064406934,4.127752627,0.052330634,0.004025433,0,516,0,0.2,0,17,0,0,10.5,0,55.9,1.4,3,12.1,0,0
1979,332,0,0.066495881,0.005541323,14.26815524,0.005541323,0,41.44612384,0.03324794,39.72697736,0.088661174,4.226007979,0.072037204,0.005541323,0,383,0,0,0,66.2,0,0,14.4,0,16.3,0,3.1,0,0,0
1980,303,0,0.068220404,0.005685034,9.308190579,0.005685034,0,50.04603091,0.034110202,37.0558418,0.090960538,3.251165303,0.073905437,0.005685034,0,118,0,0,0,21.2,0,0,51.7,0,19.5,0,7.6,0,0,0
1981,497,0,0.061384655,0.005115388,8.068307933,0.005115388,0,40.7966925,0.030692328,47.57411478,0.081846207,3.289769224,0.066500043,0.005115388,0,797,0,0.3,0,7.4,0,0,30.3,0,58.2,0,3.9,0,0,0
1982,745,0,0.195755716,0.004964014,9.28309696,0.004964014,0,32.9344305,0.029784081,54.22930785,0.079424216,3.063092716,0.109928027,0.004964014,0,392,0,0,0,4.1,0,0,24.5,0,66.3,0,5.1,0,0,0
1983,1285,0,0.68167198,0.005348549,13.60133409,0.005348549,0,32.16536439,0.032091295,49.0550531,0.085576786,4.03029017,0.316526895,0.005348549,0,448,0,0.2,0,20,0,0,19.6,0,55.9,0,4.2,0,0,0
1984,694,0,0.320619197,0.005836628,9.766903563,0.005836628,0.035797095,40.30156798,0.178208146,43.21951318,0.558748278,5.0065873,0.577035489,0.005836628,0,1376,0,0.1,0,22.5,0,0,47.5,0,26.4,0,3.5,0,0.1,0
1985,664,0,0.058538147,0.004878179,20.47035734,0.004878179,0,35.77821097,0.2146292,39.87826434,0.078050863,3.429263737,0.063416326,0.004878179,0,1042,0,0,0,16.2,0,0,35.7,0,44.9,0,3.2,0,0.1,0
1986,171,0,0.685424575,0.006585111,9.497189592,0.006585111,0,45.29214185,0.039510663,40.61009547,0.105361769,3.645158971,0.085606437,0.006585111,0,679,0,0.4,0,8.6,0,0,50.9,0,32.8,0,7.2,0,0,0
1987,579,0,0.070959049,0.005913254,21.93266514,0.005913254,0,32.17432598,0.035479525,42.95556281,0.094612066,2.658997808,0.076872304,0.005913254,0,117,0,0,0,25.6,0,0,24.8,0,48.7,0,0.9,0,0,0
